code;location;registered;envelopes;valid;-;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
589993;Skalka;212;131;131;0;31;0;0;0;0;20;17;0;7;1;1;0;0;0;0;7;0;1;1;20;4;14;7;0;0
590002;Skřípov;274;145;144;0;36;0;0;0;0;43;12;0;4;0;2;0;0;0;0;1;0;1;2;19;1;12;11;0;0
590011;Slatinky;453;314;313;0;87;0;0;0;0;30;27;0;32;0;0;1;0;0;0;16;0;2;7;29;23;44;15;0;0
590029;Smržice;1319;797;786;0;263;0;0;0;3;45;68;2;92;6;7;0;0;4;1;20;1;2;4;107;32;66;62;1;0
590045;Srbce;73;39;39;0;7;0;0;0;0;11;0;0;2;0;0;0;0;0;0;6;0;3;0;8;1;0;1;0;0
590061;Stínava;126;74;73;0;11;0;0;0;0;7;22;0;3;0;0;0;1;0;0;1;0;0;0;13;3;5;7;0;0
590070;Stražisko;345;222;220;0;83;0;0;0;0;25;30;0;3;0;1;0;0;0;0;4;0;2;1;34;2;14;20;0;1
590096;Šubířov;204;110;109;0;37;0;0;0;0;14;7;1;6;0;1;0;0;0;0;6;0;1;2;11;2;12;9;0;0
590100;Tištín;393;215;215;0;63;2;0;0;1;15;14;0;6;1;0;0;0;0;0;17;2;4;5;43;3;6;32;0;1
590118;Tvorovice;252;152;152;0;38;0;0;0;3;22;18;0;9;1;1;0;0;0;0;14;3;0;1;24;1;8;9;0;0
590134;Víceměřice;354;204;204;0;56;0;0;0;4;19;13;0;11;3;2;0;1;0;0;3;1;1;1;33;5;18;33;0;0
590142;Vícov;404;254;250;0;69;1;0;0;3;24;40;0;17;0;4;1;0;0;0;5;1;3;4;41;6;20;11;0;0
544710;Vincencov;109;80;80;0;15;0;0;0;0;5;17;0;3;0;0;0;0;0;1;5;0;1;1;15;3;9;5;0;0
590151;Vitčice;146;84;84;0;33;0;1;0;0;5;6;0;6;0;2;0;0;0;1;3;0;0;0;15;0;6;5;0;1
590193;Vrchoslavice;478;282;275;0;87;1;0;2;1;31;15;0;17;4;1;0;0;1;2;16;0;3;3;49;4;18;20;0;0
590207;Vřesovice;419;281;280;0;61;0;0;0;1;41;69;0;15;0;0;0;0;1;2;8;0;1;3;40;8;14;16;0;0
590215;Výšovice;399;266;263;0;69;1;2;0;1;25;21;1;28;1;1;0;1;1;0;2;0;3;3;41;16;21;25;0;0
590223;Zdětín;282;196;194;0;53;1;0;0;2;16;18;0;6;0;0;0;0;0;1;13;1;0;1;38;2;21;21;0;0
590240;Želeč;436;278;278;0;67;2;0;0;1;49;28;0;21;0;7;0;0;0;0;17;0;2;3;47;2;17;15;0;0
