code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
532291;Dřínov;255;140;140;55;0;1;0;1;17;4;0;11;0;0;0;0;0;0;12;0;1;0;21;1;0;8;7;0;1
513075;Hobšovice;282;141;141;47;0;0;0;3;11;5;1;14;1;0;0;0;0;1;5;0;1;2;21;2;0;20;7;0;0
532312;Horní Bezděkov;482;381;381;95;0;0;0;0;31;15;1;78;2;3;0;0;0;0;22;0;2;2;29;23;0;60;18;0;0
532321;Hořešovice;214;144;142;54;0;0;0;0;11;1;0;34;0;0;0;0;0;1;8;0;1;1;6;9;0;6;10;0;0
535150;Hořešovičky;99;60;60;20;0;0;0;0;11;1;0;4;0;0;0;0;0;0;1;0;3;0;10;1;0;3;6;0;0
532339;Hospozín;415;192;191;60;0;0;0;1;31;4;0;19;0;0;0;1;0;1;19;0;5;1;22;4;0;12;10;0;1
532347;Hostouň;915;573;568;164;1;0;0;1;40;15;2;85;5;5;1;1;1;2;36;2;8;9;55;39;0;68;28;0;0
532363;Hrdlív;392;251;250;95;0;0;0;0;23;10;0;26;1;4;0;0;1;1;8;0;8;1;23;9;0;22;18;0;0
532371;Hřebeč;1528;979;946;313;1;1;0;2;43;14;1;142;5;5;0;0;0;2;65;1;21;7;86;57;1;140;37;1;1
532398;Chržín;204;124;124;42;0;0;0;1;13;0;0;8;1;0;1;1;0;0;11;0;1;3;14;2;0;14;12;0;0
532401;Jarpice;228;137;137;44;0;0;0;0;28;6;0;12;0;4;1;0;0;0;9;0;0;1;9;5;0;13;5;0;0
532410;Jedomělice;305;203;202;48;0;0;0;3;22;2;0;23;3;3;0;1;0;1;28;0;6;1;22;8;0;17;14;0;0
532428;Jemníky;204;142;142;34;0;0;0;0;15;7;1;22;1;0;0;0;0;0;16;0;0;1;17;6;0;17;5;0;0
532444;Kačice;990;612;612;209;2;0;0;0;64;3;0;70;5;4;0;0;0;1;38;4;9;7;68;13;1;77;37;0;0
532452;Kamenné Žehrovice;1426;930;923;307;1;0;1;0;93;10;0;107;6;9;1;0;5;4;39;0;11;12;99;43;1;114;58;0;2
513032;Kamenný Most;356;197;196;54;0;0;0;0;32;4;0;25;0;1;0;1;1;0;13;1;2;3;21;6;2;21;8;1;0
532479;Kmetiněves;228;137;136;35;0;0;0;0;12;2;0;16;0;3;0;0;1;0;9;1;1;2;26;4;0;19;4;0;1
532487;Knovíz;446;276;275;73;1;0;0;0;20;4;1;44;3;3;0;0;0;2;18;2;3;5;44;11;0;18;23;0;0
532495;Koleč;484;270;269;80;0;0;1;1;35;5;0;22;5;0;0;0;0;0;10;2;3;7;33;6;0;33;26;0;0
535109;Královice;173;124;124;30;0;0;0;0;18;6;0;19;1;0;0;0;0;0;5;0;6;1;22;2;0;9;5;0;0
571512;Kutrovice;89;52;52;10;0;0;0;0;8;0;0;4;0;0;0;0;0;0;5;0;3;0;5;1;0;10;6;0;0
532517;Kvílice;63;39;39;14;0;0;0;0;9;2;0;3;0;0;0;0;0;0;0;1;0;0;4;0;0;4;2;0;0
532525;Kyšice;496;338;338;87;0;0;0;0;33;6;0;49;4;1;0;1;1;0;16;1;18;2;27;24;1;54;13;0;0
532533;Ledce;380;247;244;63;0;0;0;0;42;7;0;14;3;3;0;0;0;0;22;0;4;2;37;10;1;25;11;0;0
513041;Lhota;495;363;362;101;1;0;0;1;46;9;1;55;2;1;0;1;2;2;17;1;1;4;30;14;0;48;23;0;2
564150;Libochovičky;49;40;40;12;0;0;0;0;3;1;0;7;0;0;0;0;0;0;2;0;0;0;7;1;0;7;0;0;0
571601;Libovice;266;180;180;42;0;0;0;0;13;9;0;22;0;2;0;4;1;0;7;2;3;3;21;6;0;28;15;0;2
532584;Lidice;425;333;331;118;2;0;0;0;25;1;1;50;0;1;0;2;1;0;20;1;6;1;17;30;0;37;18;0;0
571555;Líský;90;66;65;27;0;0;0;0;9;0;1;7;0;0;0;0;0;0;5;0;3;1;5;4;0;2;1;0;0
535095;Loucká;105;68;68;20;0;2;0;0;11;0;0;3;2;2;0;0;0;0;1;0;1;0;19;3;0;1;3;0;0
532622;Makotřasy;340;226;226;73;0;0;3;0;12;4;0;24;2;1;0;0;0;0;11;0;6;6;26;18;0;25;15;0;0
532631;Malé Kyšice;385;276;273;67;0;1;0;0;10;5;0;48;3;0;0;0;0;0;11;1;6;5;33;24;0;40;18;0;1
513113;Malé Přítočno;199;136;134;31;0;0;0;0;9;1;1;30;0;0;0;0;0;0;10;0;3;2;10;10;0;18;9;0;0
571521;Neprobylice;134;80;78;23;0;0;0;1;4;0;0;9;0;1;0;0;1;0;3;0;0;0;18;2;0;9;7;0;0
532665;Neuměřice;330;184;184;59;0;0;0;1;16;0;0;23;0;3;0;0;0;0;9;1;1;0;29;6;0;24;11;1;0
532681;Otvovice;598;388;385;135;2;0;0;7;44;5;1;49;3;6;1;0;0;1;17;2;5;2;24;25;0;34;22;0;0
564192;Páleč;165;98;98;45;0;0;0;1;13;1;0;4;0;0;0;0;0;1;10;0;1;1;11;0;0;3;6;0;1
532711;Pavlov;135;86;85;7;0;0;0;1;12;3;0;11;0;1;1;1;2;0;4;0;2;0;10;10;1;15;3;0;1
532738;Pletený Újezd;401;268;267;71;1;0;1;1;25;7;1;47;2;1;0;0;1;0;17;1;0;2;29;15;0;29;14;1;1
564125;Plchov;158;104;104;44;0;0;0;0;19;4;0;4;0;0;0;0;0;0;9;0;0;2;1;2;0;13;5;0;1
532754;Podlešín;253;152;150;41;1;0;0;0;16;5;0;13;0;0;1;0;0;0;15;1;4;3;15;4;0;14;17;0;0
564087;Poštovice;176;115;114;42;0;0;0;2;12;7;0;7;0;1;0;0;1;0;5;1;0;0;22;1;0;11;2;0;0
532771;Přelíc;317;198;198;79;0;0;0;0;14;1;1;15;3;5;0;1;1;0;13;1;4;2;13;11;0;24;10;0;0
532797;Řisuty;290;194;193;42;1;0;0;1;13;6;0;20;3;3;2;0;0;0;13;3;11;1;34;3;0;31;6;0;0
532801;Sazená;257;159;158;43;1;0;0;0;19;5;0;13;0;3;0;0;1;1;8;0;4;1;32;2;0;20;5;0;0
532827;Slatina;448;291;289;91;0;0;0;2;41;8;0;32;3;0;0;0;0;0;26;1;4;2;32;7;0;24;16;0;0
532851;Stehelčeves;616;392;391;82;0;0;0;0;44;6;0;63;4;2;1;1;0;1;34;0;5;7;47;27;0;51;15;0;1
599441;Stradonice;95;45;45;15;0;0;0;0;8;1;0;5;0;0;0;0;0;1;0;0;1;0;8;1;0;2;3;0;0
551457;Studeněves;357;215;215;68;0;0;0;1;16;12;0;31;3;3;0;0;0;0;17;0;3;1;14;11;0;29;5;0;1
599433;Svárov;429;306;303;54;1;0;1;0;10;10;0;52;2;1;0;1;0;0;46;0;8;2;31;25;0;47;12;0;0
532908;Svinařov;578;364;359;116;2;0;1;0;38;4;0;47;3;2;0;0;0;2;11;1;3;2;38;13;0;32;42;0;2
532916;Šlapanice;143;79;79;18;0;0;0;0;11;2;0;11;0;2;0;0;0;0;1;0;0;2;7;5;0;6;14;0;0
532959;Třebichovice;471;283;283;116;0;0;0;3;31;4;0;34;3;4;0;0;1;0;13;1;2;2;22;12;0;25;8;1;1
532967;Třebíz;190;144;143;46;0;0;0;0;14;1;1;27;0;2;0;0;0;0;5;0;1;2;13;5;0;18;8;0;0
532975;Třebusice;418;246;242;87;0;0;0;1;30;4;0;19;1;1;0;1;1;0;11;1;3;5;36;6;0;21;14;0;0
532177;Tuřany;479;293;292;94;0;0;0;1;32;3;1;25;0;2;1;7;0;0;12;0;4;6;43;5;0;39;17;0;0
533009;Uhy;288;148;148;46;0;0;0;1;18;0;1;16;3;1;1;0;0;0;10;1;3;4;14;4;0;17;8;0;0
533025;Velká Dobrá;1365;995;988;292;1;0;0;4;49;25;0;175;7;13;3;0;0;3;64;1;13;9;77;73;3;122;53;0;1
533033;Velké Přítočno;805;535;533;156;1;0;0;1;39;9;1;64;5;3;0;0;0;0;26;1;12;9;72;33;0;77;21;3;0
571431;Vrbičany;187;88;88;34;0;1;0;0;20;0;0;3;1;0;0;0;0;0;0;0;0;1;11;0;0;8;7;0;2
571598;Zájezd;92;58;57;19;1;0;0;2;3;0;0;10;0;2;0;0;0;0;5;0;2;0;8;1;0;2;2;0;0
533092;Zákolany;454;287;287;62;0;0;0;0;32;10;1;29;5;1;1;2;0;0;32;0;3;5;29;16;0;39;20;0;0
571423;Zichovec;119;105;105;33;0;0;0;0;6;4;0;16;0;0;0;0;0;1;17;0;1;3;2;3;0;9;10;0;0
533122;Zvoleněves;701;364;364;118;0;0;0;0;43;7;0;36;1;0;0;0;0;0;6;0;7;6;54;16;0;43;26;0;1
599425;Želenice;151;91;91;39;0;0;0;0;11;5;0;1;1;1;0;0;0;0;2;0;0;1;5;4;0;11;10;0;0
533149;Žilina;645;427;425;103;1;0;1;0;54;10;0;48;2;3;0;0;1;2;29;1;11;6;56;19;0;49;29;0;0
